1.央视,#genre#
剧集_庆余年,http://tv.zimtv.cn/tv/player/api/huya.php?id=11352960
剧集_康熙微服私访记,http://tv.zimtv.cn/tv/player/api/huya.php?id=11342418
剧集_康熙王朝,http://tv.zimtv.cn/tv/player/api/huya.php?id=11352940
剧集_康熙王朝,https://live.ottiptv.cc/yy/1382851583
剧集_康熙王朝,https://live.ottiptv.cc/yy/1382736818
剧集_延禧攻略,http://tv.zimtv.cn/tv/player/api/huya.php?id=26355864
剧集_情满四合院,https://live.ottiptv.cc/yy/1382735541
剧集_情满四合院,https://live.ottiptv.cc/yy/1382736848
剧集_情满四合院,https://live.ottiptv.cc/yy/1382851524
剧集_情满四合院,https://live.ottiptv.cc/yy/1382851601
剧集_我家无难事,https://live.ottiptv.cc/yy/1382736715
剧集_我是特种兵之利刃出鞘,https://live.ottiptv.cc/yy/1382773714
剧集_打狗棍,https://live.ottiptv.cc/yy/1354744544
剧集_梦华录,http://tv.zimtv.cn/tv/player/api/huya.php?id=11336590
剧集_武林外传,https://live.ottiptv.cc/yy/1355344777
剧集_水浒传,http://tv.zimtv.cn/tv/player/api/huya.php?id=11342384
剧集_水浒传,https://live.ottiptv.cc/yy/1382702247
剧集_津门飞鹰,https://live.ottiptv.cc/yy/1354143942
剧集_潜行者,https://live.ottiptv.cc/yy/1382749888
剧集_火蓝刀锋,https://live.ottiptv.cc/yy/1382737892
剧集_父母爱情,http://tv.zimtv.cn/tv/player/api/huya.php?id=11602071
剧集_父母爱情,https://live.ottiptv.cc/yy/1382746276
剧集_父母爱情,https://live.ottiptv.cc/yy/1382851594
剧集_父母爱情,https://live.ottiptv.cc/yy/1354926650
剧集_特种兵之火凤凰,https://live.ottiptv.cc/yy/1508456184
剧集_狂飙1,https://live.ottiptv.cc/yy/1382626335
剧集_狂飙1,https://live.ottiptv.cc/yy/1354806550
剧集_狂飙2,https://live.ottiptv.cc/yy/1354936131
剧集_猎鹰1949,https://live.ottiptv.cc/yy/1352227153
剧集_白鹿原,http://tv.zimtv.cn/tv/player/api/huya.php?id=11342416
剧集_知否知否应是绿肥红瘦,https://live.ottiptv.cc/yy/1354936134
剧集_知否知否应是绿肥红瘦,https://live.ottiptv.cc/yy/21881901
剧集_神医喜来乐,http://tv.zimtv.cn/tv/player/api/huya.php?id=11601978
剧集_神探狄仁杰1,https://live.ottiptv.cc/yy/1382851575
剧集_神探狄仁杰1,https://live.ottiptv.cc/yy/1353753252
剧集_神探狄仁杰1,https://live.ottiptv.cc/yy/1354930934
剧集_神探狄仁杰2,https://live.ottiptv.cc/yy/1382736907
剧集_神探狄仁杰2,https://live.ottiptv.cc/yy/1382828767
剧集_神探狄仁杰3,https://live.ottiptv.cc/yy/1351755386
剧集_神雕侠侣,http://tv.zimtv.cn/tv/player/api/huya.php?id=11352964
剧集_神雕侠侣,https://live.ottiptv.cc/yy/1354926637
